symbol,date,close,volume,open,low,high,adjclose
LT.NS,2021-01-01,1297.0,2058419,1283.0,1283.0,1299.949951171875,1297.0
LT.NS,2021-01-04,1314.5999755859375,4014636,1305.0,1302.0,1322.550048828125,1314.5999755859375
LT.NS,2021-01-05,1306.300048828125,2833637,1307.0,1295.050048828125,1313.0,1306.300048828125
LT.NS,2021-01-06,1314.0,4615963,1308.0,1300.0,1330.0,1314.0
LT.NS,2021-01-07,1338.949951171875,4270598,1330.0,1325.0,1346.800048828125,1338.949951171875
LT.NS,2021-01-08,1373.4000244140625,4984995,1349.800048828125,1347.0,1382.949951171875,1373.4000244140625
LT.NS,2021-01-11,1350.0,3252470,1382.0,1345.0,1384.949951171875,1350.0
LT.NS,2021-01-12,1349.800048828125,2836161,1354.0,1344.050048828125,1366.8499755859375,1349.800048828125
LT.NS,2021-01-13,1352.5,4389762,1354.0,1344.300048828125,1373.0,1352.5
LT.NS,2021-01-14,1376.5999755859375,5168591,1358.0,1356.25,1389.699951171875,1376.5999755859375
LT.NS,2021-01-15,1354.1500244140625,2587576,1376.699951171875,1345.050048828125,1384.5,1354.1500244140625
LT.NS,2021-01-18,1336.050048828125,3185998,1345.199951171875,1326.1500244140625,1353.8499755859375,1336.050048828125
LT.NS,2021-01-19,1369.8499755859375,3885798,1340.050048828125,1337.0,1382.0,1369.8499755859375
LT.NS,2021-01-20,1382.6500244140625,3957992,1369.0,1362.550048828125,1393.050048828125,1382.6500244140625
LT.NS,2021-01-21,1371.300048828125,2985423,1395.0,1361.050048828125,1396.0,1371.300048828125
LT.NS,2021-01-22,1362.0999755859375,3282665,1362.0,1348.5,1375.0,1362.0999755859375
LT.NS,2021-01-25,1361.300048828125,4847989,1370.0,1342.0,1396.4000244140625,1361.300048828125
LT.NS,2021-01-27,1359.8499755859375,8896211,1368.800048828125,1330.0999755859375,1392.699951171875,1359.8499755859375
LT.NS,2021-01-28,1345.3499755859375,2962948,1344.699951171875,1340.0,1365.0999755859375,1345.3499755859375
LT.NS,2021-01-29,1334.699951171875,5130876,1362.0,1325.0999755859375,1369.0,1334.699951171875
LT.NS,2021-02-01,1448.8499755859375,11317043,1345.75,1337.199951171875,1462.0,1448.8499755859375
LT.NS,2021-02-02,1520.199951171875,14349665,1474.0,1474.0,1593.0,1520.199951171875
LT.NS,2021-02-03,1528.550048828125,6195999,1530.0,1505.0,1558.0,1528.550048828125
